Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/05/05,GME,GME,S,BATS,1881
2020/05/05,GME,GME,S,C2,21
2020/05/05,GME,GME,S,CBOE,904
2020/05/05,GME,GME,S,EDGX,172
2020/05/06,GME,GME,S,BATS,1401
2020/05/06,GME,GME,S,C2,40
2020/05/06,GME,GME,S,CBOE,1689
2020/05/06,GME,GME,S,EDGX,1359
2020/05/07,GME,GME,S,BATS,2519
2020/05/07,GME,GME,S,C2,631
2020/05/07,GME,GME,S,CBOE,2283
2020/05/07,GME,GME,S,EDGX,735
2020/05/08,GME,GME,S,BATS,1652
2020/05/08,GME,GME,S,C2,42
2020/05/08,GME,GME,S,CBOE,2089
2020/05/08,GME,GME,S,EDGX,479
2020/05/11,GME,GME,S,BATS,1991
2020/05/11,GME,GME,S,C2,40
2020/05/11,GME,GME,S,CBOE,2722
2020/05/11,GME,GME,S,EDGX,443
2020/05/12,GME,GME,S,BATS,1318
2020/05/12,GME,GME,S,C2,37
2020/05/12,GME,GME,S,CBOE,22965
2020/05/12,GME,GME,S,EDGX,1071
2020/05/13,GME,GME,S,BATS,902
2020/05/13,GME,GME,S,C2,55
2020/05/13,GME,GME,S,CBOE,1442
2020/05/13,GME,GME,S,EDGX,873
2020/05/14,GME,GME,S,BATS,994
2020/05/14,GME,GME,S,C2,67
2020/05/14,GME,GME,S,CBOE,1874
2020/05/14,GME,GME,S,EDGX,486
2020/05/15,GME,GME,S,BATS,880
2020/05/15,GME,GME,S,C2,11
2020/05/15,GME,GME,S,CBOE,1404
2020/05/15,GME,GME,S,EDGX,503
2020/05/18,GME,GME,S,BATS,1638
2020/05/18,GME,GME,S,C2,47
2020/05/18,GME,GME,S,CBOE,774
2020/05/18,GME,GME,S,EDGX,333
2020/05/19,GME,GME,S,BATS,728
2020/05/19,GME,GME,S,C2,27
2020/05/19,GME,GME,S,CBOE,1519
2020/05/19,GME,GME,S,EDGX,836
2020/05/20,GME,GME,S,BATS,1030
2020/05/20,GME,GME,S,C2,5
2020/05/20,GME,GME,S,CBOE,1747
2020/05/20,GME,GME,S,EDGX,258
2020/05/21,GME,GME,S,BATS,2543
2020/05/21,GME,GME,S,C2,31
2020/05/21,GME,GME,S,CBOE,1341
